position_id,symbol,direction,open_time_utc,close_time_utc,entry_price,exit_price,profit_sum,net_sum,strategy_id,account_type,sample_type
124,USDCHF,BUY,2022-02-04 11:00:00+00:00,2022-02-04 15:29:40+00:00,0.92209,0.9241,21.25,21.25,6.23.134,DEMO_ACCOUNT,IS
126,USDCHF,BUY,2022-02-10 15:30:00+00:00,2022-02-10 15:33:40+00:00,0.92504,0.92687,19.24,19.24,6.23.134,DEMO_ACCOUNT,IS
128,USDCHF,BUY,2022-02-11 06:15:00+00:00,2022-02-11 23:45:00+00:00,0.92759,0.92418,-37.4,-37.4,6.23.134,DEMO_ACCOUNT,IS
130,USDCHF,BUY,2022-02-15 11:45:00+00:00,2022-02-15 23:45:00+00:00,0.92634,0.92524,-12.39,-12.39,6.23.134,DEMO_ACCOUNT,IS
132,USDCHF,BUY,2022-02-22 13:15:00+00:00,2022-02-22 17:25:40+00:00,0.9196,0.92185,23.91,23.91,6.23.134,DEMO_ACCOUNT,IS
134,USDCHF,BUY,2022-02-24 12:45:00+00:00,2022-02-24 17:14:40+00:00,0.92298,0.92581,30.07,30.07,6.23.134,DEMO_ACCOUNT,IS
136,USDCHF,BUY,2022-02-25 13:45:00+00:00,2022-02-25 23:45:00+00:00,0.92647,0.92548,-11.2,-11.2,6.23.134,DEMO_ACCOUNT,IS
138,USDCHF,BUY,2022-03-02 16:45:00+00:00,2022-03-02 23:45:30+00:00,0.92197,0.92041,-17.45,-17.45,6.23.134,DEMO_ACCOUNT,IS
140,USDCHF,BUY,2022-03-07 11:00:00+00:00,2022-03-07 12:24:40+00:00,0.92268,0.92563,31.37,31.37,6.23.134,DEMO_ACCOUNT,IS
142,USDCHF,BUY,2022-03-08 18:30:00+00:00,2022-03-08 23:45:00+00:00,0.92998,0.9291,-9.97,-9.97,6.23.134,DEMO_ACCOUNT,IS
144,USDCHF,BUY,2022-03-10 16:00:00+00:00,2022-03-10 23:45:00+00:00,0.9304,0.93029,-1.68,-1.68,6.23.134,DEMO_ACCOUNT,IS
