position_id,symbol,direction,open_time_utc,close_time_utc,entry_price,exit_price,profit_sum,net_sum,strategy_id,account_type,sample_type
36,USDCAD,BUY,2021-08-02 10:45:00+00:00,2021-08-02 18:43:40+00:00,1.24617,1.25017,94.49,94.49,3.2.189,LIVE_ACCOUNT,IS
38,USDCAD,BUY,2021-08-03 14:30:00+00:00,2021-08-03 16:11:40+00:00,1.24998,1.25398,94.2,94.2,3.2.189,LIVE_ACCOUNT,IS
40,USDCAD,BUY,2021-08-04 06:15:00+00:00,2021-08-04 17:31:40+00:00,1.25202,1.25602,94.04,94.04,3.2.189,LIVE_ACCOUNT,IS
42,USDCAD,BUY,2021-08-05 06:15:00+00:00,2021-08-05 15:39:40+00:00,1.25302,1.25002,-73.5,-73.5,3.2.189,LIVE_ACCOUNT,IS
44,USDCAD,BUY,2021-08-06 09:30:00+00:00,2021-08-06 15:50:40+00:00,1.24982,1.25382,94.21,94.21,3.2.189,LIVE_ACCOUNT,IS
46,USDCAD,BUY,2021-08-09 10:45:00+00:00,2021-08-09 23:45:00+00:00,1.25491,1.25792,70.29,70.29,3.2.189,LIVE_ACCOUNT,IS
48,USDCAD,BUY,2021-08-10 09:30:00+00:00,2021-08-10 17:15:40+00:00,1.25682,1.25382,-73.28,-73.28,3.2.189,LIVE_ACCOUNT,IS
50,USDCAD,BUY,2021-08-11 03:00:00+00:00,2021-08-11 20:02:40+00:00,1.25195,1.24895,-73.56,-73.56,3.2.189,LIVE_ACCOUNT,IS
52,USDCAD,BUY,2021-08-20 17:00:00+00:00,2021-08-20 22:28:40+00:00,1.28615,1.28315,-71.64,-71.64,3.2.189,LIVE_ACCOUNT,IS
54,USDCAD,BUY,2021-08-23 03:45:00+00:00,2021-08-23 04:49:40+00:00,1.28076,1.27776,-71.94,-71.94,3.2.189,LIVE_ACCOUNT,IS
56,USDCAD,BUY,2021-08-24 01:15:00+00:00,2021-08-24 09:36:40+00:00,1.26462,1.26162,-72.84,-72.84,3.2.189,LIVE_ACCOUNT,IS
58,USDCAD,BUY,2021-08-25 21:45:00+00:00,2021-08-25 23:45:00+00:00,1.25986,1.25885,-25.57,-25.57,3.2.189,LIVE_ACCOUNT,IS
60,USDCAD,BUY,2021-08-26 01:45:00+00:00,2021-08-26 17:34:40+00:00,1.25928,1.26328,93.49,93.49,3.2.189,LIVE_ACCOUNT,IS
62,USDCAD,BUY,2021-08-27 09:30:00+00:00,2021-08-27 17:02:40+00:00,1.26706,1.26406,-72.7,-72.7,3.2.189,LIVE_ACCOUNT,IS
64,USDCAD,BUY,2021-08-30 11:30:00+00:00,2021-08-30 16:21:40+00:00,1.26129,1.25829,-73.03,-73.03,3.2.189,LIVE_ACCOUNT,IS
66,USDCAD,BUY,2021-08-31 08:00:00+00:00,2021-08-31 17:57:40+00:00,1.25987,1.26387,93.45,93.45,3.2.189,LIVE_ACCOUNT,IS
68,USDCAD,BUY,2021-09-01 10:00:00+00:00,2021-09-01 23:45:00+00:00,1.26024,1.26216,44.14,44.14,3.2.189,LIVE_ACCOUNT,IS
70,USDCAD,BUY,2021-09-02 11:45:00+00:00,2021-09-02 17:57:40+00:00,1.25938,1.25638,-73.13,-73.13,3.2.189,LIVE_ACCOUNT,IS
72,USDCAD,BUY,2021-09-03 09:00:00+00:00,2021-09-03 15:30:40+00:00,1.25418,1.25118,-73.43,-73.43,3.2.189,LIVE_ACCOUNT,IS
74,USDCAD,BUY,2021-09-06 16:15:00+00:00,2021-09-06 23:45:00+00:00,1.25356,1.25329,-7.96,-7.96,3.2.189,LIVE_ACCOUNT,IS
